,ImageId,CategoryName,CategoryId,Fold
0,013__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
1,009__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
2,019__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
3,031__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
4,033__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
5,028__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
6,030__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
7,004__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
8,015__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
9,006__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
10,003__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
11,028__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
12,009__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
13,031__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
14,022__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
15,035__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
16,021__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
17,030__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
18,001__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
19,016__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
20,016__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
21,034__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore",159,0
22,013__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
23,005__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
24,026__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
25,027__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
26,025__10 Cents_singapore_centercropped.jpg,"10 Cents,Singapore Dollar,singapore",159,0
